교시,월요일,화요일,수요일,목요일,금요일
1,,경영학개론,,,
2,극장일반상식,경영학개론,사진사,축제기획,
3,극장일반상식,경영학개론,사진사,축제기획,
4,극장일반상식,,장면만들기,축제기획,
5,예술홍보,예술마케팅,장면만들기,,
6,예술홍보,예술마케팅,장면만들기,,동서양 고전읽기
7,예술홍보,예술마케팅,장면만들기,,동서양 고전읽기
8,,,,,
