교시,월요일,화요일,수요일,목요일,금요일
1,세포생물학,생화학 및 실습,세포생물학,생화학 및 실습,
2,의학통계학,,의학통계학,돌봄과 이해,과학연구 기초
3,,,,돌봄과 이해,과학연구 기초
4,사회적 뇌&인간행동,,사회적 뇌&인간행동,돌봄과 이해,과학연구 기초
5,,,,,
6,의학유전학,일반화학,의학유전학,일반화학,
7,일반생물학 및 연습,English,일반생물학 및 연습,English,
8,일반생물학 및 연습,English,일반생물학 및 연습,English,
